record_id,question,anchor,answerchoice_a,answerchoice_b,answerchoice_c,answerchoice_d,answerchoice_e,correct_answer,answer_explanation,age,subject,shelf_image,student_assessment_shelf_complete
CNNTR3EN,"A 3-month-old infant presents for a well-child check. He is exclusively breastfed. He is growing well and meeting milestones. He has not yet received vitamin D supplementation. There are no signs of rickets or clinical concerns.","What is the most appropriate recommendation?","No supplementation is needed at this age","Introduce iron-rich solids immediately","Start 400 IU daily vitamin D supplementation","Begin iron and vitamin D combination therapy","Supplement with calcium due to risk of deficiency",c,"Exclusively breastfed infants should receive 400 IU of vitamin D daily starting in the first few weeks of life. Breast milk does not provide adequate vitamin D to prevent rickets. Supplementation is essential unless the infant is consuming >32 oz formula/day.",0.25,16,,0
CWO5JTM1,"A 15-year-old girl comes to the clinic for evaluation of menstrual cramps. She started menstruating at age 13 and has regular 28-day cycles. However, her periods are associated with intense cramping and back pain that causes her to miss school. She takes ibuprofen with minimal relief. She is not sexually active and has no history of pelvic infections or abnormal vaginal discharge.","What is the most appropriate initial treatment?","Pelvic ultrasound","Oral contraceptive pills","Endometrial biopsy","Referral to gynecology",Laparoscopy,b,"Primary dysmenorrhea is common in adolescents and is due to prostaglandin-mediated uterine contractions. NSAIDs and combined oral contraceptives are first-line treatments for symptom relief.",15,1,,0
CYEXIFZO,"A 12-year-old boy with a history of cystic fibrosis presents with worsening cough, fever, and increased sputum production. He has had several previous admissions for pulmonary infections. On exam, he is febrile and tachypneic with crackles and wheezes. Chest X-ray reveals right lower lobe consolidation.","What is the most appropriate empiric antibiotic choice?",Ceftriaxone,Azithromycin,"Cefepime and tobramycin","Vancomycin and clindamycin",Amoxicillin-clavulanate,c,"Cystic fibrosis patients are prone to Pseudomonas aeruginosa infections. Empiric treatment typically includes anti-pseudomonal beta-lactams (e.g., cefepime) and aminoglycosides (e.g., tobramycin) pending culture results.",12.0,22,,0
D4XYAVV1,"A 2-day-old newborn develops bilious vomiting and abdominal distension. He has not passed meconium. An abdominal X-ray reveals a 'double bubble' sign with no gas beyond the second bubble. The infant was born at 39 weeks gestation with no complications.","What is the most likely diagnosis?","Meconium ileus","Hirschsprung disease","Duodenal atresia","Midgut volvulus","Necrotizing enterocolitis",c,"Duodenal atresia typically presents within the first few days of life with bilious emesis and abdominal distension. The classic 'double bubble' sign on X-ray, with no distal air, is diagnostic. It is often associated with Down syndrome.",0.005,7,,0
D5T49O6B,"A 14-year-old girl is referred by her school counselor due to suspected disordered eating. She reports feeling pressure to maintain a certain appearance for social media and has been skipping meals regularly. Her BMI is 16.5, and she expresses intense fear of gaining weight despite being underweight. She denies binge eating or purging but is obsessed with calorie counting. Labs reveal normal electrolytes, but EKG shows sinus bradycardia with a heart rate of 50 bpm.","Which of the following is the most likely diagnosis?","Bulimia nervosa","Binge eating disorder","Anorexia nervosa, restrictive type","Body dysmorphic disorder","Avoidant/restrictive food intake disorder",c,"Anorexia nervosa, restrictive type, is characterized by low body weight, fear of weight gain, and distorted body image. Unlike bulimia, there is no purging behavior. Bradycardia and low BMI are key clinical features.",14,1,,0
D8510Q5W,"An 8-year-old boy is evaluated for fatigue, poor growth, and salt craving. His blood pressure is low, and he has diffuse hyperpigmentation, especially in sun-exposed areas. Labs show hyponatremia, hyperkalemia, and hypoglycemia. A morning cortisol level is low, and ACTH is markedly elevated.","What is the most likely diagnosis?","Central adrenal insufficiency","Congenital adrenal hyperplasia","Type 1 diabetes mellitus","Primary adrenal insufficiency (Addison disease)",Hypopituitarism,d,"Primary adrenal insufficiency results in decreased cortisol and aldosterone production. Elevated ACTH leads to hyperpigmentation. Lab findings of hyponatremia, hyperkalemia, and hypoglycemia are characteristic. Management includes glucocorticoid and mineralocorticoid replacement.",8,6,,0
DITXBKUA,"A 4-year-old boy presents with facial puffiness and swelling around the eyes, especially in the morning. His parents report that his urine has been foamy for the past few days. Physical exam reveals periorbital edema and mild ascites. Urinalysis shows 4+ proteinuria with no hematuria. Serum albumin is low, and cholesterol is elevated.","What is the most likely diagnosis?","Acute glomerulonephritis","Urinary tract infection","Minimal change disease","Focal segmental glomerulosclerosis","IgA nephropathy",c,"Minimal change disease is the most common cause of nephrotic syndrome in children. It presents with proteinuria, hypoalbuminemia, edema, and hyperlipidemia. Most children respond to corticosteroids without the need for biopsy.",4.0,20,,0
DSH1WYHZ,"A 16-year-old female presents to her primary care provider with concerns about breast tenderness that worsens before her menstrual periods. She reports that both breasts feel lumpy and painful at times, especially in the upper outer quadrants. There is no nipple discharge, skin changes, or palpable dominant mass. Her symptoms improve after her period starts. She is otherwise healthy and takes no medications.","What is the most appropriate initial management?","Schedule a diagnostic mammogram","Refer to breast surgery","Reassure and recommend supportive bra and NSAIDs","Start oral contraceptives","Order breast ultrasound",c,"Fibrocystic breast changes are common in adolescent females and often fluctuate with the menstrual cycle. Management includes reassurance, wearing a supportive bra, and using NSAIDs for symptom relief. Imaging is not required unless there are atypical features.",16,1,,0
DTPRRW6S,"A 15-year-old female presents with severe abdominal pain, bloody diarrhea, and recent unintentional weight loss. Exam reveals diffuse abdominal tenderness and pallor. Labs show anemia and elevated inflammatory markers. She has had similar symptoms intermittently over the past year.","What is the most likely diagnosis?","Irritable bowel syndrome","Crohn disease",Appendicitis,"Peptic ulcer disease","Ulcerative colitis",e,"Ulcerative colitis presents with bloody diarrhea, abdominal pain, and systemic signs like anemia and weight loss. It typically affects the colon in a continuous pattern starting at the rectum.",15,7,,0
DW3UBO73,"A 16-year-old female cross-country runner presents with complaints of fatigue, dizziness during workouts, and occasional irregular menstrual periods. She adheres to a strict low-calorie diet to 'stay in shape' for competition and exercises daily without rest days. On physical exam, she has a BMI of 17, dry skin, and mild bradycardia. She is alert but appears tired. Vital signs show BP 96/58 mmHg, HR 52 bpm. She is concerned that she might be anemic or have a thyroid issue.","What is the most appropriate next step in management?","Order thyroid function tests","Recommend multivitamin and continue training","Obtain EKG and assess for electrolyte disturbances","Refer to hematology for anemia evaluation","Order abdominal ultrasound",c,"This adolescent athlete shows signs of an eating disorder and possible bradyarrhythmia. Before further testing or clearance for physical activity, it is essential to assess cardiac stability via EKG and screen for electrolyte disturbances such as hypokalemia.",16,1,,0
DY58F444,"A 9-year-old girl is noted to have breast budding during a routine physical examination. She is otherwise healthy and has no signs of pubic hair development. Her parents are concerned and want to know when she is likely to have her first menstrual period.","Based on typical pubertal progression, when is menarche expected to occur?","Within 3 months","Within 6 months","In approximately 1 year","In approximately 2 years","After age 15",d,"Menarche typically occurs approximately 2 to 2.5 years after thelarche (breast budding), which is the first sign of puberty in girls. A 9-year-old with isolated breast development is likely to experience menarche by age 11-11.5 if development progresses normally.",9,1,,0
E82EA2D5,"A 14-year-old boy presents to the clinic with his mother, complaining of a persistent cough for the past 3 weeks. The cough is dry and occurs mostly at night. He also reports occasional shortness of breath, especially during physical education classes at school. His mother mentions that the boy's father has a history of asthma. On physical examination, the boy has a prolonged expiratory phase and scattered wheezes. His oxygen saturation is 96% on room air.","What is the most likely diagnosis?",Bronchiolitis,Pneumonia,Asthma,"Cystic fibrosis","Foreign body aspiration",c,"This patient's symptoms of a chronic, dry cough that is worse at night and associated with exertional dyspnea, along with a family history of asthma and physical examination findings of prolonged expiration and wheezing, are suggestive of asthma. Asthma is a common chronic inflammatory disorder of the airways characterized by variable and recurring symptoms, reversible airflow obstruction, and bronchospasm.",14.0,1,,0
E9404FC5,"A 4-year-old boy is brought to the emergency department by his parents with a 2-day history of fever, sore throat, and difficulty swallowing. His parents report that he has been drooling and has refused to eat or drink. On examination, the boy is sitting upright, appears anxious, and is drooling. His temperature is 38.9°C (102°F), heart rate is 120/min, and respiratory rate is 22/min. Examination of the oropharynx reveals a swollen, erythematous uvula that is deviated away from the midline.","What is the appropriate treatment?","Intravenous antibiotics and immediate surgical consultation for possible incision and drainage","Intravenous corticosteroids and nebulized epinephrine","Oral antibiotics and outpatient follow-up in 24 hours","Intravenous antibiotics and immediate intubation","Intravenous corticosteroids and immediate surgical consultation for possible incision and drainage",a,"This child's fever, sore throat, drooling, and preference for sitting upright with his neck extended (tripod position) are suggestive of a peritonsillar abscess. This condition is a complication of untreated or partially treated tonsillitis and is more common in older children and adolescents. The uvula deviated away from the midline is a classic sign. Treatment involves intravenous antibiotics to cover aerobic and anaerobic organisms (eg, ampicillin/sulbactam or clindamycin) and immediate surgical consultation for possible incision and drainage.",4.0,12,,0
EF21787A,"A 3-year-old boy is brought to the emergency department by his parents due to a 2-day history of vomiting and lethargy. His parents also report that he has been drinking more water than usual and urinating frequently. On examination, the boy appears dehydrated. His blood glucose level is found to be significantly elevated. Urinalysis shows glucose and ketones. The boy is diagnosed with type 1 diabetes mellitus.","What is the expected prognosis?","Poor, with a high likelihood of early death.","Good, with proper management and lifestyle modifications.","Variable, depending on the severity of the disease.","Excellent, with no long-term complications expected.","Uncertain, as the disease course is unpredictable.",b,"The prognosis for children with type 1 diabetes mellitus is generally good with proper management, which includes insulin therapy, regular blood glucose monitoring, and lifestyle modifications such as a healthy diet and regular exercise. While the disease does require lifelong management and can lead to complications if not well controlled, most children with type 1 diabetes are able to lead normal, healthy lives.",3.0,13,,0
F789A4C3,"A 2-year-old boy is admitted to the pediatric ward with a 2-day history of fever, cough, and increased work of breathing. On examination, he has decreased breath sounds on the right side, and his oxygen saturation is 92% on room air. His temperature is 38.5°C, heart rate is 130/min, and respiratory rate is 40/min. Chest x-ray shows a right-sided pleural effusion. Thoracentesis reveals purulent fluid with gram-positive cocci in clusters. Blood cultures are pending.","What is the appropriate treatment?","Intravenous ceftriaxone","Intravenous vancomycin and ceftriaxone","Intravenous vancomycin and clindamycin","Intravenous ampicillin and gentamicin","Intravenous azithromycin",c,"This child has empyema (ie, infected pleural fluid), likely secondary to pneumonia. Empyema typically occurs when bacteria in the alveoli invade the pleural space, causing an inflammatory response. The most common pathogens are Streptococcus pneumoniae and Staphylococcus aureus, including methicillin-resistant S aureus (MRSA). Treatment of empyema requires both antibiotics and drainage of the infected fluid. Antibiotic therapy should include coverage for MRSA (eg, vancomycin or clindamycin) and Streptococcus pneumoniae (eg, ceftriaxone or cefotaxime).",2.0,22,,0
FCCM6NE2,"A 4-year-old child presents with sudden-onset intermittent abdominal pain, drawing up of the legs, and lethargy between episodes. Parents report a recent upper respiratory infection. On exam, a sausage-shaped mass is palpated in the right abdomen. Stool is guaiac-positive with possible blood and mucus.","What is the most appropriate diagnostic test?","CT abdomen with contrast","Abdominal X-ray","Upper GI series","Abdominal ultrasound","Barium enema",d,"This classic presentation is consistent with intussusception. The diagnostic test of choice is abdominal ultrasound, which shows a 'target sign.' Air or contrast enema is both diagnostic and therapeutic.",4.0,7,,0
FU3IL7SB,"During a well-child visit, a 12-year-old boy asks when he will start going through puberty. His physical exam shows no signs of pubertal development. His father recalls beginning puberty around age 13.","What is the first physical sign of puberty in males?","Development of pubic hair","Increase in muscle mass","Growth of testes","Deepening of the voice","Growth spurt",c,"Testicular enlargement (to >4 mL or >2.5 cm) is the first sign of puberty in boys. Other changes like pubic hair and voice changes occur later in the pubertal sequence.",12,1,,0
FZKZ7052,"A 6-month-old boy is brought to the pediatrician for routine evaluation. He sits with minimal support, laughs aloud, and reaches for toys. He babbles with consonant sounds and turns to voices. There are no parental concerns.","Which of the following language milestones is most consistent with this infantâ€™s age?","Says 2-word phrases","Babbles using consonants","Points to objects","Speaks single words with meaning","Responds to name consistently",b,"Babbles using consonant sounds is a key milestone expected around 6 months. This is a transition from cooing to more complex pre-linguistic sounds.",0.5,4,,0
G7LUQTVK,"A 12-year-old girl presents for evaluation of persistent clear vaginal discharge that has no odor and is not associated with itching or discomfort. She recently started developing breast buds and has not yet had her first menstrual period. Physical examination is normal for age.","What is the most appropriate management?","Order pelvic ultrasound","Prescribe antifungal cream","Obtain vaginal swab culture","Reassure and provide anticipatory guidance","Refer to pediatric gynecology",d,"Physiologic leukorrhea is a common, benign finding in early puberty due to estrogen stimulation of the vaginal mucosa. It typically precedes menarche and does not require treatment or further workup in the absence of signs of infection or trauma.",12,1,,0
GBENNI33,"A 3-year-old girl has a history of recurrent skin and lung infections. Her infections are often caused by Staphylococcus aureus and Aspergillus species. She recently developed cervical lymphadenitis requiring drainage. Lab evaluation shows normal WBC count and immunoglobulin levels. Neutrophil function testing is abnormal.","Which of the following organisms is she most at risk for due to her condition?","Streptococcus pneumoniae","Escherichia coli","Staphylococcus aureus","Hepatitis B virus","Epstein-Barr virus",c,"This patient has chronic granulomatous disease (CGD), which impairs neutrophil oxidative burst. She is particularly vulnerable to catalase-positive organisms such as Staphylococcus aureus, Serratia marcescens, and Aspergillus species.",3,11,,0
GYL6T2P4,"A 14-year-old girl presents to the clinic accompanied by her stepfather. She complains of abdominal pain and urinary frequency. When asked privately, she discloses that her stepfather has been touching her inappropriately and she is scared to go home.","What is the most appropriate next step?","Report the abuse to child protective services","Ask the parent to leave and interview again later","Reassure her but do not report without more evidence","Refer to psychiatry for future counseling","Prescribe antibiotics for presumed UTI",a,"Any suspected child abuse must be reported immediately to child protective services. Physicians are mandatory reporters and are not required to confirm abuse before reporting.",14,1,,0
GZCNU2EH,"A 16-year-old emancipated minor presents to an urgent care clinic with complaints of dysuria and vaginal discharge. She reports being sexually active and is concerned she may have a sexually transmitted infection. She lives independently and supports herself financially. She does not want her parents to be informed of the visit.","Which of the following is the most appropriate action?","Obtain parental consent before treatment","Refer her to a primary care physician","Treat her confidentially as an emancipated minor","Delay treatment until social services are involved","Inform her parents about the encounter",c,"Emancipated minors may consent to their own medical care, including treatment for STIs. Providers should respect confidentiality and proceed with appropriate evaluation and management.",16,1,,0
H2LFP2X8,"A 9-month-old infant is brought in for increased head circumference noted during a well-visit. Parents also report irritability and vomiting. Exam shows a bulging fontanelle and setting sun sign. Head ultrasound reveals a supratentorial mass with associated hydrocephalus.","What is the most likely diagnosis?",Medulloblastoma,"Pilocytic astrocytoma",Ependymoma,"Choroid plexus papilloma",Craniopharyngioma,d,"Choroid plexus papillomas can occur in infants and may lead to overproduction of CSF, resulting in hydrocephalus. Symptoms include increased head circumference, vomiting, and bulging fontanelle. Imaging is critical for localization and surgical planning.",0.75,17,,0
H7IQ6TEA,"A 10-year-old girl presents with sudden-onset, severe epigastric pain and vomiting after eating a large meal. She has a history of hiatal hernia. On exam, she appears in distress with upper abdominal tenderness. A nasogastric tube cannot be advanced into the stomach. Chest X-ray shows an air-fluid level behind the heart.","What is the most likely diagnosis?","Gastric volvulus","Peptic ulcer disease","Esophageal atresia","Pyloric stenosis",Pancreatitis,a,"Gastric volvulus is a surgical emergency involving twisting of the stomach. It presents with epigastric pain, unproductive retching, and inability to pass an NG tube. It is associated with diaphragmatic or hiatal hernias.",10,7,,0
HGRR7EQM,"A 1-month-old newborn is brought in with fever and irritability. The mother is 22 years old and had no prenatal care. On exam, the infant has hepatosplenomegaly and petechiae. Head ultrasound reveals periventricular calcifications. Hearing screen fails in both ears.","What is the most likely diagnosis?",Toxoplasmosis,Syphilis,"Cytomegalovirus infection",Rubella,"Herpes simplex virus",c,"Congenital CMV is the most common congenital infection. Hallmarks include sensorineural hearing loss, periventricular calcifications, petechiae, and hepatosplenomegaly. It is transmitted transplacentally, often in mothers with primary infection during pregnancy.",0.08,12,,0
HLHCP41V,"A 14-year-old girl presents with secondary amenorrhea. She began menstruating at age 12 but has not had a period for the past 7 months. She has lost 6 kg over that time and runs cross-country daily. She denies eating disorders or pregnancy. BMI is 17.5.","Which of the following is the most likely explanation?",PCOS,Pregnancy,"Hypothalamic amenorrhea due to energy deficit",Prolactinoma,"Premature ovarian failure",c,"This adolescent exhibits features of the female athlete triad. Caloric restriction and strenuous exercise can suppress GnRH release, leading to functional hypothalamic amenorrhea.",14,1,,0
HOUXE149,"A 4-month-old infant is exclusively breastfed and has not started any solid foods. The baby is growing well and meeting developmental milestones. At a routine checkup, the pediatrician notes that the family has not started any vitamin supplements.","What is the most appropriate recommendation at this time?","Start iron and calcium supplementation","Introduce cowâ€™s milk with meals","Begin vitamin D supplementation","No supplementation needed","Start vitamin K injections",c,"Exclusively breastfed infants require 400 IU of vitamin D daily starting in the first few weeks of life, as breast milk alone does not provide sufficient amounts. Iron is added at 4â€""6 months, especially if not using fortified cereal. Vitamin K is given at birth.",0.33,16,,0
HSO6F7TX,"A 3-day-old full-term newborn presents with lethargy, poor feeding, and vomiting. He was discharged home after birth with no complications. On arrival, he is hypoglycemic and has metabolic acidosis with an elevated ammonia level. Urinalysis reveals ketones. There is no fever or signs of infection.","What is the most likely diagnosis?",Galactosemia,"Congenital hypothyroidism","Ornithine transcarbamylase deficiency","Maple syrup urine disease","Medium-chain acyl-CoA dehydrogenase (MCAD) deficiency",e,"MCAD deficiency presents in the first few days of life with hypoglycemia, vomiting, lethargy, and metabolic acidosis. It is due to impaired fatty acid oxidation and can be fatal if not recognized early. Newborn screening typically detects this.",0.01,13,,0
HZJY38PK,"A 5-day-old newborn develops abdominal distension and fails to pass meconium. A rectal exam causes explosive discharge of stool and gas. Contrast enema shows a transition zone in the rectosigmoid region.","What is the most likely diagnosis?","Meconium ileus",Intussusception,"Hirschsprung disease","Necrotizing enterocolitis","Anal atresia",c,"Hirschsprung disease is due to absence of enteric ganglion cells and presents with failure to pass meconium and abdominal distension. The explosive stool with rectal exam and transition zone on imaging are diagnostic clues.",0.01,7,,0
I9MKOOBD,"A 1-month-old infant is brought in for routine evaluation. Parents are concerned because the baby startles easily to loud sounds. Feeding and sleeping are normal. The baby moves all extremities symmetrically and occasionally fixes gaze on the parentâ€™s face.","Which reflex is responsible for the startling response to noise?","Palmar grasp reflex","Babinski reflex","Moro reflex","Tonic neck reflex","Rooting reflex",c,"The Moro reflex is an involuntary startle response that includes spreading and then retracting the arms. It is present at birth and typically disappears by 4â€""6 months of age.",0.08,4,,0
IER8JNDB,"A 17-year-old male presents with concerns about lack of facial hair. He has otherwise normal pubertal development, including testicular enlargement and voice deepening. He denies fatigue, cold intolerance, or weight gain. Family history reveals that his father also developed facial hair later in life.","What is the most likely explanation for this patient's concern?","Kallmann syndrome","Constitutional delay of puberty","Normal variation of pubertal progression","Androgen insensitivity syndrome","Klinefelter syndrome",c,"Facial hair is a late pubertal sign, often appearing after other changes such as testicular enlargement and voice deepening. In the absence of other symptoms or delays, this is likely a normal variant.",17,1,,0
J7ZVUL92,"An 11-month-old infant is brought in for a wellness visit. She can pull to stand and take a few supported steps. She waves goodbye, plays peek-a-boo, and says 'mama' and 'dada' with intent. She uses a three-finger pincer grasp to pick up small pieces of food.","Which of the following fine motor milestones is appropriate for this age?","Rakes with whole hand","Transfers objects between hands","Uses palmar grasp","Uses 3-finger pincer grasp","Builds tower of 2 blocks",d,"By 9â€""12 months, infants begin developing a refined pincer grasp using thumb and forefingers. This skill allows them to pick up small items like bits of food. Earlier grasping methods are replaced with more precise motor control.",0.92,4,,0
J605PQTY,"A 14-year-old girl is brought in by her mother for evaluation of irregular and unpredictable menstrual periods. She began menstruating about 6 months ago. Her cycles are sometimes 25 days apart, but occasionally stretch to 45 days. She denies heavy bleeding or cramping. She is not sexually active. Her physical exam is normal for age.","What is the most appropriate next step?","Order pelvic ultrasound","Reassure and monitor for regularization","Start combined oral contraceptives","Refer to endocrinology","Check LH/FSH and prolactin",b,"Irregular menstrual cycles are common during the first 1-2 years after menarche due to immaturity of the hypothalamic-pituitary-ovarian axis. In the absence of heavy bleeding or other concerning symptoms, reassurance and observation are appropriate.",14,1,,0
JSO7O5K5,"A 6-month-old boy is evaluated for chronic diarrhea, failure to thrive, and recurrent respiratory infections. Physical exam reveals oral thrush and absent lymph nodes. Labs show lymphopenia and hypogammaglobulinemia. Chest X-ray reveals absence of a thymic shadow.","What is the most likely diagnosis?","X-linked agammaglobulinemia","Hyper-IgE syndrome","Severe combined immunodeficiency","Common variable immunodeficiency","DiGeorge syndrome",c,"SCID is characterized by profound T- and B-cell dysfunction. Affected infants present with failure to thrive, chronic diarrhea, and severe infections. The absence of thymic shadow and lymphopenia support the diagnosis. Early diagnosis is critical for survival.",0.5,11,,0
K26WVXQ1,"A 7-year-old girl presents with persistent bone pain and swelling in her left leg. She has no history of trauma. X-ray of the femur shows a lytic lesion with periosteal elevation forming a 'Codman triangle.' ESR is elevated.","What is the most appropriate next step?","Start oral antibiotics","Refer for surgical biopsy","Begin chemotherapy immediately","Order bone marrow aspiration","Repeat imaging in 2 weeks",b,"These findings are suggestive of osteosarcoma. Biopsy of the lesion is required for definitive diagnosis before any treatment is initiated. Features like Codman triangle and bone pain without trauma should raise concern for malignancy.",7.0,17,,0
KL1WJDT7,"A 4-week-old infant is evaluated for vomiting after feeds. The emesis is non-bilious but forceful. Parents note the infant seems hungry after vomiting. On physical exam, there is a small, firm, mobile mass in the right upper quadrant. An abdominal ultrasound is performed.","What is the most likely diagnosis?","Gastroesophageal reflux","Intestinal malrotation with volvulus","Hypertrophic pyloric stenosis","Necrotizing enterocolitis",Intussusception,c,"Hypertrophic pyloric stenosis typically presents between 2â€""8 weeks of age with projectile, non-bilious vomiting. Ultrasound confirms the diagnosis, and classic physical findings include a palpable 'olive' in the right upper abdomen.",0.1,7,,0
KS1ZEVTR,"A 4-month-old infant presents for a checkup. The parents report that the baby can lift his chest while on his stomach, reaches for toys with both hands, and coos responsively. He smiles when interacting with family members and is starting to laugh. Growth and physical exam are normal.","Which of the following is an expected developmental milestone at this age?","Rolls over from front to back","Pulls to stand","Uses pincer grasp","Says mama/dada specifically","Walks with assistance",a,"By 4 months, most infants can roll over from front to back, smile responsively, and begin reaching for objects. More advanced motor and verbal skills emerge later in infancy.",0.33,4,,0
KVZR0POJ,"A 2-month-old infant presents for a routine checkup. The parents are concerned because the baby has occasional episodes of straining and crying before passing soft stools. There is no blood in the stool, and the infant is feeding well and growing appropriately. Physical exam is normal.","What is the most appropriate next step in management?","Order abdominal X-ray","Reassure and observe","Start polyethylene glycol","Refer to pediatric gastroenterology","Switch to soy formula",b,"Infant dyschezia is a benign and self-limited condition in infants <6 months characterized by straining and crying before passing soft stools. It is due to immature coordination between abdominal muscles and pelvic floor. Reassurance is the best approach.",0.17,7,,0
L7O4480H,"A 3-year-old child is brought in for behavioral concerns and a diet review. The child refuses meats and vegetables and primarily drinks 32 oz of cowâ€™s milk daily. Labs reveal low hemoglobin and low mean corpuscular volume. Platelets and WBC count are normal.","What is the most likely cause of this childâ€™s anemia?","Lead toxicity",Hemoglobinopathy,"Vitamin B12 deficiency","Iron deficiency from excessive cowâ€™s milk intake","Chronic inflammation",d,"Excessive cowâ€™s milk intake can lead to iron deficiency anemia due to poor iron content and interference with iron absorption. It may also replace iron-rich foods in the diet. Microcytic anemia without inflammation or hemoglobinopathy supports this diagnosis.",3.0,16,,0
L8OWKKNT,"A 13-year-old boy is brought to the clinic due to concern about his height. He is the shortest child in his class, and his growth has slowed over the past year. He has no chronic illness, and his diet and activity levels are normal. He has not shown signs of puberty. On exam, his height is below the 5th percentile, his weight is proportional, and he is Tanner stage I. His bone age corresponds to a 10-year-old. His father also experienced late growth during adolescence.","What is the most likely diagnosis?","Constitutional growth delay",Hypothyroidism,"Growth hormone deficiency","Chronic kidney disease","Turner syndrome",a,"Constitutional growth delay is a common cause of short stature and delayed puberty. It is characterized by delayed bone age and family history of late growth spurt. A normal growth velocity and proportionate body weight support the diagnosis.",13,1,,0
LBSE0D56,"A 6-week-old infant is brought to the ED with forceful, non-bilious vomiting after feeds. The child remains hungry after vomiting. On exam, a small, firm, mobile mass is palpated in the right upper quadrant. An ultrasound confirms the diagnosis.","What is the most likely electrolyte abnormality in this patient?","Hyperkalemia and metabolic acidosis","Hypokalemia and metabolic alkalosis","Hyponatremia and hyperchloremia","Hypernatremia and respiratory acidosis","Hypocalcemia and lactic acidosis",b,"Hypertrophic pyloric stenosis leads to persistent vomiting of gastric contents, causing hypochloremic, hypokalemic metabolic alkalosis. It is most common in first-born males and typically presents around 3-6 weeks of age.",0.12,7,,0
LELF2AZW,"A 3-year-old boy presents with a painless abdominal mass noted by his parents during bathing. He has no constitutional symptoms. On exam, a firm, smooth mass is palpated in the right upper quadrant that does not cross the midline. Urinalysis shows microscopic hematuria.","What is the most likely diagnosis?",Neuroblastoma,"Wilms tumor",Hepatoblastoma,Hydronephrosis,"Renal cell carcinoma",b,"Wilms tumor (nephroblastoma) presents in young children as a painless, smooth, unilateral abdominal mass that typically does not cross the midline. It may be associated with hematuria and hypertension. Imaging with renal ultrasound is the first step.",3.0,17,,0
LRT0HU26,"A 5-year-old boy is brought to the pediatrician for fatigue, pallor, and easy bruising. His mother notes that he has been less active and had frequent nosebleeds. On physical exam, he has petechiae on his lower extremities, hepatosplenomegaly, and cervical lymphadenopathy. CBC shows anemia, thrombocytopenia, and leukocytosis with blasts.","What is the most appropriate next step in management?","Start broad-spectrum antibiotics","Refer for bone marrow biopsy","Begin corticosteroid therapy","Schedule MRI of the brain","Order hemoglobin electrophoresis",b,"The presentation is highly suggestive of acute leukemia, likely ALL. Bone marrow biopsy is essential for confirming the diagnosis and determining the specific subtype. Initiating treatment without tissue diagnosis is inappropriate.",5.0,17,,0
MERDIW1X,"An 11-year-old boy presents with periumbilical abdominal pain that has migrated to the right lower quadrant. He has associated nausea and fever. On exam, there is rebound tenderness and guarding in the right lower quadrant. CBC shows leukocytosis.","What is the most likely diagnosis?",Constipation,Appendicitis,Gastroenteritis,"Mesenteric adenitis",Intussusception,b,"Appendicitis often presents with vague abdominal pain that localizes to the RLQ, along with nausea, fever, and leukocytosis. Surgical evaluation is warranted based on clinical suspicion.",11.0,7,,0
MG8SR76S,"A 10-year-old boy with celiac disease is evaluated for poor growth despite adherence to a gluten-free diet. He has intermittent diarrhea and a history of multiple fractures. Lab work shows low calcium, low phosphate, and elevated alkaline phosphatase.","What nutritional deficiency is most likely contributing to these findings?",Folate,Zinc,"Vitamin D","Vitamin C","Vitamin A",c,"Vitamin D deficiency impairs calcium and phosphate absorption, resulting in secondary hyperparathyroidism and bone demineralization. Children with celiac disease are at risk due to malabsorption, even on a gluten-free diet.",10.0,16,,0
N0YEV1SS,"A 3-month-old boy is brought to the pediatrician for poor weight gain. He was born at term via vaginal delivery and weighed 3.4 kg at birth. At his 2-week visit, his weight was tracking at the 25th percentile. Today, his weight is at the 3rd percentile, while length and head circumference remain at the 25th percentile. He is otherwise meeting developmental milestones and has 6-7 wet diapers daily. He is exclusively formula-fed, and his parents report feeding him 18-20 ounces per day. They deny vomiting, diarrhea, or recent illness. The infant appears alert and active but has reduced subcutaneous fat and visible rib outlines. There are no dysmorphic features or organomegaly.","What is the most appropriate next step in management?","Order a sweat chloride test","Screen for congenital hypothyroidism","Admit for nasogastric feeding and metabolic workup","Inquire about how the formula is being prepared","Switch to extensively hydrolyzed formula",d,"In a well-appearing formula-fed infant with isolated poor weight gain and no signs of malabsorption or systemic illness, improper formula mixing should be suspected. Diluting formula to 'stretch' it is a common issue and can lead to inadequate caloric intake. Before initiating costly or invasive investigations, it is essential to inquire about feeding practices, including the volume, frequency, and preparation of formula. Sweat testing and metabolic workups are appropriate only if feeding practices are confirmed to be adequate.",0.25,16,,0
N16D7H2N,"A 16-year-old girl presents for a sports physical before joining the track team. She reports that over the last year, she has been training intensely and has not had a menstrual period for the past 5 months. She follows a low-calorie diet and restricts fats from her meals to stay 'lean and fast.' Her BMI is 17.2. On exam, she appears thin but otherwise well. Vital signs are stable. She denies purging behaviors. Lab results show low estrogen levels, and her bone mineral density scan indicates osteopenia.","Which of the following is the most likely complication of her current condition?","Polycystic ovarian syndrome","Insulin resistance","Increased bone density","Loss of bone mineral density",Hyperthyroidism,d,"This patient demonstrates signs of the female athlete triad: low energy availability, menstrual dysfunction, and decreased bone density. Low estrogen from hypothalamic suppression contributes to bone loss and risk of fractures in young athletes with restrictive eating patterns.",16,1,,0
